OPEN,CLOSE,HIGH,LOW,VOLUME,Return,QPL,QPL+,QPL-,MA5,MA21,RSI
12977.75000000000000000,13089.50000000000000000,13222.50000000000000000,12914.75000000000000000,56508,,13033.54099943786604854,13144.50385468633976416,12813.11161869783245493,13089.50000000000000000,13089.50000000000000000,
13316.75000000000000000,12962.50000000000000000,13351.00000000000000000,12960.25000000000000000,58371,-0.00970243324802322,13373.99835135244575213,13487.85973738855500415,13147.81099561128576170,13026.00000000000000000,13026.00000000000000000,
13319.00000000000000000,13315.50000000000000000,13375.00000000000000000,13065.25000000000000000,56920,0.02723240115718428,13376.25802404214482522,13490.13864811445455416,13150.03245165274711326,13122.50000000000000000,13122.50000000000000000,
13716.75000000000000000,13309.50000000000000000,13751.00000000000000000,13305.00000000000000000,47462,-0.00045060268108599,13775.71794063218658266,13892.99942199293946032,13542.73651409323611006,13169.25000000000000000,13169.25000000000000000,
13619.25000000000000000,13717.00000000000000000,13812.50000000000000000,13588.00000000000000000,45203,0.03061722829557834,13677.79879074524978932,13794.24662387062016933,13446.47341896326179267,13278.79999999999927240,13278.79999999999927240,
13483.75000000000000000,13603.25000000000000000,13610.25000000000000000,13389.00000000000000000,50671,-0.00829262958372823,13541.71627987673673488,13657.00555571088625584,13312.69239957749960013,13381.54999999999927240,13332.87500000000000000,
13525.75000000000000000,13483.00000000000000000,13663.00000000000000000,13463.25000000000000000,47046,-0.00883979931266421,13583.89683675110973127,13699.54522259434634179,13354.15957901810543262,13485.64999999999963620,13354.32142857142935100,
13785.25000000000000000,13520.25000000000000000,13790.25000000000000000,13380.75000000000000000,46015,0.00276273826299778,13844.51242029634158826,13962.37959298143869091,13610.36750913326977752,13526.60000000000036380,13375.06250000000000000,
13872.75000000000000000,13784.50000000000000000,13946.00000000000000000,13771.75000000000000000,43789,0.01954475693866597,13932.38858045128472440,14051.00389898864887073,13696.75746630119647307,13621.60000000000036380,13420.55555555555474712,
13944.75000000000000000,13866.75000000000000000,13956.00000000000000000,13819.25000000000000000,44335,0.00596684682070436,14004.69810652163687337,14123.92904221743810922,13767.84405962794880907,13651.54999999999927240,13465.17499999999927240,
13964.50000000000000000,13943.75000000000000000,14063.00000000000000000,13818.25000000000000000,45277,0.00555285124488436,14024.53301124232530128,14143.93281414477860380,13787.34350710299440834,13719.64999999999963620,13508.68181818181801646,
13954.50000000000000000,13968.00000000000000000,13991.25000000000000000,13877.50000000000000000,44581,0.00173913043478269,14014.49002151033164409,14133.80432202966949262,13777.47036914094496751,13816.64999999999963620,13546.95833333333393966,
14018.50000000000000000,13950.00000000000000000,14048.00000000000000000,13913.50000000000000000,43159,-0.00128865979381443,14078.76515579509032250,14198.62667156636962318,13840.65845209805775085,13902.60000000000036380,13577.96153846153902123,
13914.75000000000000000,14019.50000000000000000,14027.00000000000000000,13865.50000000000000000,45927,0.00498207885304658,13974.56913732565772079,14093.54356587210895668,13738.22464574180230557,13949.60000000000036380,13609.50000000000000000,
13755.75000000000000000,13914.00000000000000000,13980.00000000000000000,13737.50000000000000000,47178,-0.00752523271158034,13814.88560058696020860,13932.50054124186681292,13581.24175214522620081,13959.04999999999927240,13629.79999999999927240,72.83301024646911515
13892.00000000000000000,13760.75000000000000000,13941.75000000000000000,13701.25000000000000000,49134,-0.01101408653155100,13951.72133568537174142,14070.50124631023390975,13715.76325687814096455,13922.45000000000072760,13637.98437500000000000,71.78927255356899195
13747.00000000000000000,13890.75000000000000000,13925.25000000000000000,13701.00000000000000000,50231,0.00944715949348685,13806.09798457146644068,13923.63811064114452165,13572.60275642843407695,13907.00000000000000000,13652.85294117647026724,67.87878787878787534
13897.25000000000000000,13734.25000000000000000,13932.75000000000000000,13719.25000000000000000,51000,-0.01126649029030113,13956.99390529466836597,14075.81870467066619312,13720.94665430821623886,13863.85000000000036380,13657.37500000000000000,62.07190564160863744
13984.50000000000000000,13892.00000000000000000,14051.00000000000000000,13821.00000000000000000,48326,0.01148588383056959,14044.61899070631261566,14164.18979837499864516,13807.08978302709147101,13838.35000000000036380,13669.72368421052669873,55.79662139781384411
13996.50000000000000000,14017.25000000000000000,14058.25000000000000000,13953.25000000000000000,46099,0.00901598042038576,14056.67057838470464048,14176.34398891312957858,13818.93754858155080001,13859.00000000000000000,13687.10000000000036380,63.60946745562129934
13824.50000000000000000,13998.75000000000000000,14033.00000000000000000,13788.75000000000000000,47694,-0.00131980238634544,13883.93115499441591965,14002.13392453324377129,13649.11957563431133167,13906.60000000000036380,13701.94047619047705666,68.16980799718160711
13975.25000000000000000,13825.50000000000000000,14028.00000000000000000,13772.75000000000000000,42508,-0.01237610500937580,14035.32922520421743684,14154.82094316852089833,13797.95713041219642037,13893.54999999999927240,13736.98809523809541133,59.81353480147885904
13823.25000000000000000,13974.00000000000000000,13993.00000000000000000,13772.25000000000000000,45605,0.01074102202451988,13882.67578127791603038,14000.86786301885513240,13647.88543338905583369,13941.50000000000000000,13785.15476190476147167,56.58214657867314656
13813.75000000000000000,13823.00000000000000000,13830.75000000000000000,13731.50000000000000000,48389,-0.01080578216688133,13873.13494103252378409,13991.24579550950147677,13638.50595232510931964,13927.70000000000072760,13809.32142857142935100,48.54964362671970690
