,,,,OPEN,HIGH,LOW,CLOSE,VOLUME
,,,,27.6092255511927,28.0088034976887,27.1946179579817,27.2170115655981,13503.81
,,,,27.418354220772,27.7744310589027,27.1526847671376,27.6092255511927,15503.66
,,,,27.5210792726454,27.7104942229549,27.0052092642028,27.418354220772,17410.32
,,,,27.3469550118781,27.6981809134573,26.7839016205196,27.5210792726454,16985.04
,,,,28.8494963178504,28.8558939883663,27.1786701942133,27.3469550118781,17788.66
,,,,29.4387823526703,29.4819611410021,28.5914928730551,28.8494963178504,17591.27
,,,,29.0401912971737,29.6257347423156,28.2195879724295,29.4387823526703,21640.29
,,,,28.6332708249831,29.3160433953843,28.3266079238391,29.0401912971737,15927.18
,,,,28.214056388066,28.8936602720203,28.1225054321731,28.6332708249831,55016.72
,,,,28.4049981408796,28.9323823757513,28.0881180596787,28.214056388066,21182.48
,,,,29.0146064609611,29.0201297285894,28.2214486937903,28.4049981408796,16148.62
,,,,28.3727046554002,29.0653347757284,28.1573454575805,29.0146064609611,16155.23
,,,,28.0372468715731,29.8753797190366,27.6865395512887,28.3727046554002,9378.03
,,,,27.879028174074,28.4498976271422,27.5872674600455,28.0372468715731,22099.52
,,,,28.6838594202585,29.8319456026742,27.8111967157747,27.879028174074,18153.95
,,,,27.9510929794032,28.6959409452873,27.7904384931399,28.6838594202585,16867.98
,,,,28.2724073739206,28.6052162373828,27.8798953225397,27.9510929794032,16956.31
,,,,27.8217318562611,28.5114805172867,27.6666474663402,28.2724073739206,20306.08
,,,,27.3562367992746,28.2122586754639,27.1195059784293,27.8217318562611,16927.75
,,,,27.7050322835335,27.9109276802716,27.3039614799,27.3562367992746,16419.55
,,,,27.401616686967,27.9178630293498,27.3233868828802,27.7050322835335,17349.15
,,,,26.9767365954695,27.7653408177131,26.4767980771595,27.401616686967,19638.64
,,,,27.2420599419657,27.5528992584138,26.725462051889,26.9767365954695,17700.56
,,,,26.2917392004222,27.3241669360057,26.0494109722203,27.2420599419657,15332.85
,,,,25.2426171331092,26.5446342066016,25.161138256601,26.2917392004222,24510.21
,,,,25.1640403505048,25.4794166163475,24.7415020774838,25.2426171331092,18269.18
,,,,25.1270610973554,25.328263104734,24.7454606152669,25.1640403505048,14822.55
,,,,25.10071421934,25.4324159772545,24.7346902748913,25.1270610973554,18923.22
,,,,25.1456511536968,25.5005448224826,24.9280380601241,25.10071421934,15495.55
,,,,24.7426692386525,25.2542405402355,24.5216541524579,25.1456511536968,25091.36
,,,,24.5771635829251,25.0005897221175,24.4293033771037,24.7426692386525,15298.82
,,,,24.7380041149623,25.0018377968788,24.45255186247,24.5771635829251,21710.85
,,,,24.7847207800841,25.1939089420424,24.6434816872034,24.7380041149623,15782.27
,,,,24.7805467139689,25.1794448769305,24.5268836155716,24.7847207800841,25233.44
,,,,24.9152140965206,25.2001814391822,24.5789218382602,24.7805467139689,16389.31
,,,,24.8700955702112,25.2292532629121,24.4426804673249,24.9152140965206,17103.03
,,,,26.0809441790079,26.6096969212234,24.8135690234195,24.8700955702112,56810.63
,,,,25.0809717576941,26.0845162649042,24.6347775804684,26.0809441790079,58343.21
,,,,25.2565052322905,25.4851900798132,24.7675755942143,25.0809717576941,66428.63
,,,,25.3605778176846,25.4915714967275,25.1407068731107,25.2565052322905,18594.34
,,,,25.4545543087324,25.7510607917277,25.1429325435909,25.3031087709955,17293.89
,,,,25.6085247189423,25.7070337007299,25.1058470136631,25.4545543087324,17788.78
,,,,24.9062105599259,25.7101934099149,24.8321656844131,25.6085247189423,18096.51
,,,,25.2218544860197,25.5337376200358,24.7391572255193,24.9062105599259,15691.5
,,,,24.0817984368201,25.5051724666509,23.986429650667,25.2218544860197,36714.13
,,,,25.4802107289495,25.9451695184338,23.9726524480578,24.0817984368201,36233.73
,,,,24.5684044299234,26.0858025598456,24.4498958892203,25.4802107289495,24448.41
,,,,24.6684450322448,25.6503122686858,23.9243706719226,24.5684044299234,80310.81
,,,,24.3960806206886,24.8955666007174,24.2293670557438,24.6684450322448,44553.83
,,,,24.4683724283036,24.7680551556139,24.0705754740432,24.3960806206886,16814.53
,,,,24.2416539160187,24.7860469354421,23.858579058691,24.4683724283036,19009.1
,,,,24.0632496460556,24.5180221478523,23.7188864778259,24.2416539160187,17163.95
,,,,24.123927042649,24.3986616820135,23.3039920031557,24.0632496460556,17759.4
,,,,23.3729659641946,24.1948399190904,23.1000491650448,24.123927042649,18684.3
,,,,23.4242370620854,23.681498738908,22.9493672710419,23.3729659641946,14808.61
,,,,23.0655739304617,23.6012414777643,22.9810624901468,23.4242370620854,18608.85
,,,,22.8315921636189,23.453535315624,22.5968697333705,23.0655739304617,16818.18
,,,,22.5775526359985,23.0022183431086,22.4130375969942,22.8315921636189,16632.04
,,,,22.6248176920898,23.1466614735898,22.4241811629693,22.5775526359985,12666.37
,,,,22.6811451240724,23.0573024850804,22.492918344705,22.6248176920898,20826.64
,,,,23.0980356133437,23.1891036866103,22.506584125404,22.6811451240724,17263.73
,,,,23.1419485175799,23.3991864888331,22.7874933406504,23.0980356133437,12292.31
,,,,22.984612523966,23.3246031757015,22.7791865056177,23.1419485175799,15261.97
,,,,22.8858693322517,23.3016025472338,22.5943938450039,22.984612523966,19864.69
,,,,22.962983543069,24.2640017174269,22.5757895064653,22.8858693322517,16137.18
,,,,22.9438195033539,24.9922450203347,22.7252179761556,22.962983543069,14844.88
,,,,23.4327549229901,23.4614050602553,22.7860521152113,22.9438195033539,490.76
,,,,23.4438360142897,23.769289966469,23.0972331770931,23.4327549229901,17132.16
