OPEN,CLOSE,HIGH,LOW,VOLUME,Return,QPL,QPL+,QPL-,MA5,MA21,RSI
1.29344999999999999,1.30085000000000006,1.30641999999999991,1.28628000000000009,59730,,1.29516057193360878,1.29856273263647504,1.28835739733826937,1.30085000000000006,1.30085000000000006,
1.30644000000000005,1.29343000000000008,1.30676999999999999,1.29218000000000011,47538,-0.00570396279355800,1.30816775105102168,1.31160407934253076,1.30129625279570815,1.29714000000000018,1.29714000000000018,
1.30342000000000002,1.30652999999999997,1.30824000000000007,1.30052999999999996,1958,0.01012810898154504,1.30514375713765851,1.30857214192511062,1.29828814321283947,1.30027000000000004,1.30027000000000004,
1.30257000000000001,1.30342000000000002,1.30346000000000006,1.30211999999999994,51960,-0.00238035100610012,1.30429263302297027,1.30771878205596903,1.29744148985342278,1.30105749999999998,1.30105749999999998,
1.29367000000000010,1.30493999999999999,1.30493999999999999,1.29221000000000008,54157,0.00116616286385041,1.29538086288094001,1.29878360224966460,1.28857653114894211,1.30183399999999994,1.30183399999999994,
1.29193000000000002,1.29364999999999997,1.29701000000000000,1.28910999999999998,61777,-0.00865173877726177,1.29363856175204850,1.29703672439989259,1.28684338191907721,1.30039400000000005,1.30047000000000001,
1.28759000000000001,1.29190999999999989,1.29295000000000004,1.28447000000000000,69302,-0.00134503150001941,1.28929282215469887,1.29267956930333505,1.28252046947217324,1.30008999999999997,1.29924714285714282,
1.29895999999999989,1.28771999999999998,1.30069999999999997,1.28652999999999995,49796,-0.00324325997941022,1.30067785884176446,1.30409451249408592,1.29384570323284120,1.29632800000000015,1.29780625000000005,
1.29310999999999998,1.29889000000000010,1.29925000000000002,1.28996000000000000,1479,0.00867424595408939,1.29482012228773358,1.29822138868881831,1.28801873599450278,1.29542199999999985,1.29792666666666667,
1.29166000000000003,1.29302999999999990,1.29319000000000006,1.29117999999999999,82538,-0.00451154447258828,1.29336820468032410,1.29676565714734182,1.28657444496961548,1.29303999999999997,1.29743699999999995,
1.28872000000000009,1.29377999999999993,1.29537999999999998,1.28367000000000009,81161,0.00058003294587139,1.29042431656599055,1.29381403595289979,1.28364602040880960,1.29306600000000005,1.29710454545454557,
1.29261000000000004,1.28872000000000009,1.29784000000000010,1.28194999999999992,78237,-0.00391102042078240,1.29431946104379914,1.29771941229520582,1.28752070460661061,1.29242799999999991,1.29640583333333326,
1.28658000000000006,1.29254000000000002,1.29418999999999995,1.28049999999999997,62861,0.00296418151343958,1.28828148644195184,1.29166557698823770,1.28151444606863096,1.29339199999999988,1.29610846153846149,
1.28466999999999998,1.28655999999999993,1.29030000000000000,1.28224000000000005,61986,-0.00462654927507089,1.28636896049012273,1.28974802716463732,1.27961196616688277,1.29092600000000002,1.29542642857142853,
1.27581000000000011,1.28465000000000007,1.29296999999999995,1.27512000000000003,1713,-0.00148457903245858,1.27749724324760727,1.28085300546982195,1.27078684997343361,1.28925000000000023,1.29470799999999997,39.46957878315131296
1.27532000000000001,1.27578999999999998,1.27717999999999998,1.27509000000000006,62685,-0.00689682014556503,1.27700659522855164,1.28036106860408161,1.27029877921329915,1.28565200000000024,1.29352562500000001,38.74425727411938425
1.27479999999999993,1.27428000000000008,1.28048000000000006,1.26872999999999991,85784,-0.00118358036981003,1.27648590753485980,1.27983901315472437,1.26978082656989133,1.28276400000000002,1.29239352941176477,25.84993260446316299
1.27242000000000011,1.27481000000000000,1.27804999999999991,1.26902000000000004,79114,0.00041592114762845,1.27410276001373268,1.27744960552112841,1.26741019716352477,1.27921799999999997,1.29141666666666666,27.71459728929737309
1.27347000000000010,1.27241000000000004,1.27770000000000006,1.26750999999999991,79911,-0.00188263349048090,1.27515414862599474,1.27850375594771504,1.26845606307809833,1.27638800000000008,1.29041631578947369,25.00384201629017866
1.28142000000000000,1.27346000000000004,1.28669999999999995,1.27109000000000005,76638,0.00082520571199529,1.28311466240454974,1.28648518060615547,1.27637476214558365,1.27415000000000012,1.28956850000000012,31.58854641619555537
1.29316000000000009,1.28151999999999999,1.29664000000000001,1.27753000000000005,1670,0.00632921332432890,1.29487018841212698,1.29827158632817974,1.28806853913329200,1.27529599999999999,1.28918523809523822,41.50449713818484554
1.29197000000000006,1.29319999999999991,1.29381999999999997,1.29096999999999995,65610,0.00911417691491345,1.29367861465156331,1.29707688251138165,1.28688322443010872,1.27907999999999999,1.28882095238095240,53.99184149184145554
1.29771999999999998,1.29228999999999994,1.29996000000000000,1.29144999999999999,97255,-0.00070368079183414,1.29943621895680761,1.30284961103792662,1.29261058539086870,1.28257600000000016,1.28876666666666662,44.34737923946539695
1.29723000000000011,1.29773000000000005,1.29984999999999995,1.28648000000000007,79050,0.00420958144069838,1.29894557093775220,1.30235767417218651,1.29212251463073446,1.28764000000000012,1.28834761904761907,54.05452035886834494
1.28891000000000000,1.29723000000000011,1.30069999999999997,1.28750000000000009,61686,-0.00038528815701255,1.29061456783868556,1.29400478698247245,1.28383527233620853,1.29239400000000026,1.28805285714285733,52.98908334777352991
1.28512000000000004,1.28892000000000007,1.29262000000000010,1.28146000000000004,58460,-0.00640595730903548,1.28681955560966355,1.29019980591888883,1.28006019441598595,1.29387399999999997,1.28728999999999982,50.16404199475064019
1.28049999999999997,1.28509999999999991,1.29190999999999989,1.27909999999999990,1243,-0.00296372156534164,1.28219344571571070,1.28556154404190814,1.27545838439186210,1.29225400000000024,1.28688285714285700,43.89763779527548593
